Directory TotLength ReferenceLength Difference
Ls48.beta0.30.m0.005 11770 6550 5220
Ls48.beta0.30.m0.01 13300 7450 5850
Ls48.beta0.30.m0.02 15090 8510 6580
Ls48.beta0.30.m0.03 17108 9670 7438
Ls48.beta0.32.m0.005 13350 7370 5980
Ls48.beta0.32.m0.01 14440 8140 6300
Ls48.beta0.32.m0.02 16180 9120 7060
Ls48.beta0.32.m0.03 18380 10350 8030
Ls48.beta0.34.m0.005 14840 8370 6470
Ls48.beta0.34.m0.01 16000 8830 7170
Ls48.beta0.34.m0.02 17030 9710 7320
Ls48.beta0.34.m0.03 19310 10990 8320
Ls48.beta0.36.m0.005 17066 9580 7486
Ls48.beta0.36.m0.01 18650 10600 8050
Ls48.beta0.36.m0.02 19790 11290 8500
Ls48.beta0.38.m0.005 18830 10770 8060
Ls48.beta0.40.m0.005 19760 11230 8530
Ls48.beta0.42.m0.005 21700 12300 9400
Ls48.beta0.44.m0.005 23140 13170 9970
Ls48.beta0.46.m0.005 25190 14360 10830
Ls48.beta0.48.m0.005 27120 15440 11680
Ls48.beta0.50.m0.005 28820 16610 12210
Ls48.beta0.52.m0.005 30650 17620 13030
